NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201012080,2020,3.71,3.71,161.0,153.0,153.0,3.7,3.61,3.69,3.63,3.89,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012081,2020,3.66,3.66,169.0,153.0,153.0,3.56,3.52,3.73,3.64,3.7,22.0,43.0,66.0,90.0,114.0,2,0,Tidak Tepat Waktu
201012082,2020,3.73,3.73,161.0,153.0,153.0,3.66,3.44,3.75,3.8,3.85,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012084,2020,3.63,3.63,163.0,153.0,153.0,3.5,3.38,3.69,3.66,3.7,22.0,43.0,66.0,90.0,114.0,1,0,Tidak Tepat Waktu
201012085,2020,3.75,3.75,159.0,153.0,153.0,3.65,3.63,3.71,3.76,3.82,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012086,2020,3.78,3.78,161.0,153.0,153.0,3.6,3.6,3.77,3.78,3.96,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012092,2020,3.69,3.69,163.0,153.0,153.0,3.55,3.5,3.71,3.68,3.83,22.0,43.0,66.0,90.0,114.0,1,0,Tidak Tepat Waktu
201012098,2020,3.84,3.84,161.0,153.0,153.0,3.66,3.78,3.75,3.91,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012099,2020,3.74,3.74,161.0,153.0,153.0,3.53,3.63,3.69,3.77,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012101,2020,3.81,3.81,161.0,153.0,153.0,3.62,3.78,3.82,3.74,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012103,2020,3.85,3.85,159.0,153.0,153.0,3.67,3.75,3.92,3.88,3.95,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012104,2020,3.77,3.77,159.0,153.0,153.0,3.58,3.65,3.73,3.8,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012106,2020,3.71,3.71,161.0,153.0,153.0,3.5,3.58,3.71,3.62,3.9,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012108,2020,3.65,3.65,161.0,153.0,153.0,3.46,3.55,3.62,3.57,3.75,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012114,2020,3.67,3.67,161.0,153.0,153.0,3.5,3.66,3.55,3.75,3.72,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012118,2020,3.81,3.81,159.0,153.0,153.0,3.67,3.76,3.82,3.81,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012119,2020,3.83,3.83,159.0,153.0,153.0,3.67,3.74,3.89,3.8,3.93,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012121,2020,3.79,3.79,159.0,153.0,153.0,3.58,3.78,3.75,3.9,3.82,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
